species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,36.6,18.5,185,3100,FEMALE
Adelie,Dream,33.1,16.1,185,3700,FEMALE
Chinstrap,Torgersen,49.7,20.0,200,3550,FEMALE
Adelie,Dream,40.7,17.2,190,3400,FEMALE
Adelie,Torgersen,46.0,21.5,196,4150,MALE
Adelie,Dream,40.3,20.1,198,4450,MALE
Chinstrap,Dream,50.0,19.4,210,3800,MALE
Gentoo,Biscoe,43.5,15.7,217,5950,MALE
Chinstrap,Dream,48.1,17.3,198,3950,MALE
Adelie,Dream,41.1,18.4,190,3250,FEMALE
Gentoo,Biscoe,50.7,15.9,225,4925,MALE
Adelie,Dream,40.6,18.5,187,3700,FEMALE
Chinstrap,Dream,46.4,18.2,182,3900,MALE
Chinstrap,Dream,49.5,19.4,210,4050,MALE
Adelie,Dream,37.6,18.6,193,3100,FEMALE
Gentoo,Biscoe,47.4,15.0,213,4650,MALE
Gentoo,Biscoe,50.8,14.2,210,4700,FEMALE
Adelie,Biscoe,40.6,20.0,184,4250,MALE
Adelie,Biscoe,38.2,17.0,181,3825,MALE
Chinstrap,Torgersen,49.0,18.6,197,3400,MALE
Adelie,Dream,36.5,18.8,193,3800,MALE
Gentoo,Biscoe,49.0,16.2,225,5600,MALE
Gentoo,Biscoe,49.4,16.3,222,5400,MALE
Gentoo,Biscoe,43.3,14.5,209,4575,FEMALE
Gentoo,Biscoe,48.1,15.0,216,5650,MALE
Gentoo,Biscoe,41.7,13.7,213,4900,FEMALE
Adelie,Torgersen,42.5,19.5,196,3775,MALE
Chinstrap,Dream,49.3,18.6,190,3250,MALE
Adelie,Dream,41.1,19.0,190,4250,MALE
Gentoo,Biscoe,49.8,16.8,230,5950,MALE
Chinstrap,Biscoe,45.6,17.0,196,3650,FEMALE
Adelie,Biscoe,42.7,18.5,195,4075,MALE
Gentoo,Biscoe,50.8,15.6,220,5500,MALE
Adelie,Torgersen,42.9,19.1,195,3900,MALE
Adelie,Dream,39.7,18.1,196,4300,MALE
Gentoo,Biscoe,42.6,14.7,210,4200,FEMALE
Gentoo,Biscoe,47.5,15.0,221,5100,MALE
Adelie,Torgersen,39.3,18.6,190,4250,MALE
Gentoo,Biscoe,48.2,14.1,213,5400,MALE
Chinstrap,Torgersen,49.2,19.6,196,3400,MALE
Gentoo,Biscoe,49.1,14.8,216,5550,MALE
Gentoo,Biscoe,42.7,14.7,210,4800,FEMALE
Gentoo,Biscoe,49.0,16.1,230,5800,MALE
Adelie,Dream,40.2,20.1,198,4150,MALE
Adelie,Dream,38.1,18.8,199,4000,MALE
Adelie,Dream,41.3,18.3,178,4250,MALE
Chinstrap,Dream,50.9,18.2,201,4300,MALE
Adelie,Dream,37.3,18.1,178,3950,MALE
Gentoo,Biscoe,47.7,14.2,203,4200,FEMALE
Chinstrap,Dream,50.5,18.6,201,4450,MALE
Adelie,Dream,37.6,19.4,190,3750,MALE
Adelie,Torgersen,41.8,18.5,194,3650,FEMALE
Adelie,Dream,39.5,17.8,180,3600,MALE
Gentoo,Biscoe,47.3,14.6,210,4700,FEMALE
Adelie,Dream,40.2,20.1,198,3775,MALE
Adelie,Dream,37.0,17.1,182,3000,FEMALE
Adelie,Dream,38.1,18.8,181,4600,MALE
Chinstrap,Dream,50.3,19.5,197,3725,MALE
Gentoo,Biscoe,48.6,14.3,220,4625,FEMALE
Chinstrap,Dream,52.0,19.8,197,3750,MALE
Chinstrap,Biscoe,51.3,17.9,195,3800,MALE
Adelie,Dream,40.8,18.4,190,3450,FEMALE
Adelie,Dream,39.6,17.1,186,3000,FEMALE
Adelie,Torgersen,37.3,17.0,188,3000,FEMALE
Chinstrap,Dream,49.0,18.6,195,3775,MALE
Adelie,Dream,39.8,17.1,176,3350,FEMALE
