Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,male,26,0,0,7.8958,S
0,3,female,2,3,1,21.075,S
1,2,female,21,0,0,11.5,S
0,2,male,27,0,0,13.0,S
1,3,female,35,0,0,8.05,S
0,2,female,27,0,1,26.0,S
1,1,male,28,0,0,135.6333,C
0,2,male,33,1,2,41.5792,C
0,3,male,61,0,0,8.05,S
1,2,male,1,0,2,33.0,S
0,1,male,50,1,0,55.9,S
0,3,male,1,3,1,21.075,S
0,1,male,40,0,0,31.0,C
0,3,male,30,0,0,7.75,Q
1,2,male,1,2,1,39.0,C
1,3,male,25,1,0,14.4542,C
0,3,female,24,1,0,16.1,S
1,1,male,28,0,0,52.0,S
0,3,female,43,1,5,34.375,S
0,2,male,31,1,2,65.0,S
0,3,male,17,1,1,20.25,C
1,3,female,27,0,4,15.7417,S
0,1,female,60,1,0,78.2667,C
1,1,female,22,0,2,55.0,S
0,3,male,42,0,0,7.925,S
0,3,male,36,0,0,7.05,S
1,1,female,32,0,2,263.0,C
0,2,male,31,1,0,26.0,S
0,3,male,24,0,0,7.4958,S
1,1,female,23,0,0,151.55,S
0,3,male,15,0,0,9.5,C
0,2,female,57,0,0,13.5,S
0,3,male,17,1,1,14.4,C
1,2,male,3,1,1,18.75,S
1,3,male,12,0,0,9.8417,C
0,3,female,25,1,1,20.2125,S
0,3,male,24,0,0,7.25,S
0,3,male,40,1,0,17.8,S
0,2,male,30,0,0,13.0,S
0,3,male,39,0,0,8.05,S
0,3,male,30,0,0,9.4833,S
0,2,male,21,0,0,11.5,Q
1,2,female,41,0,0,13.0,S
1,1,female,49,0,0,78.2667,C
0,3,male,21,0,0,8.6625,S
0,1,male,28,0,0,66.6,S
0,3,male,25,0,0,7.8958,S
0,3,male,32,0,0,7.925,S
0,1,male,30,0,0,27.75,S
0,1,male,60,0,1,153.4625,S
0,2,male,23,0,0,13.7917,C
0,3,female,17,1,0,14.4542,C
0,3,male,34,0,0,6.4958,S
0,2,male,31,2,0,73.5,S
0,2,female,26,0,0,10.5,S
1,2,female,28,0,0,12.65,S
0,3,female,26,0,2,16.7,S
1,3,male,45,0,0,9.5,S
1,3,female,19,0,0,12.475,S
1,2,female,4,1,1,26.0,S
1,2,female,2,2,1,39.0,C
1,2,male,3,4,1,73.5,S
0,3,male,49,0,0,7.75,Q
1,3,female,30,0,0,7.925,S
1,3,female,4,1,1,7.2292,C
0,3,female,24,0,0,7.925,S
0,2,male,36,1,0,26.0,S
1,1,female,22,1,0,91.0792,Q
0,3,male,33,0,0,7.925,S
0,3,male,17,0,0,8.6625,S
1,3,male,45,0,0,8.05,S
1,3,male,29,0,0,7.925,S
0,3,male,29,0,0,7.875,S
0,2,male,23,0,0,10.5,S
1,3,male,16,0,0,7.75,Q
0,2,male,44,2,0,73.5,S
0,2,male,25,0,0,13.0,S
1,2,female,35,0,0,10.5,S
0,2,male,24,0,0,15.0458,C
1,1,male,49,0,2,79.65,C
1,1,female,40,0,0,227.525,C
0,3,male,34,1,2,27.9,S
0,1,male,39,0,0,27.7208,C
1,3,male,18,0,0,8.0292,S
0,3,male,28,0,0,16.1,S
0,2,male,44,0,0,13.0,S
0,3,male,24,0,0,8.85,S
1,1,male,49,1,0,106.425,C
1,2,female,41,1,0,26.0,S
1,3,male,39,0,0,9.5875,S
1,1,male,51,0,0,30.5,S
1,3,female,63,0,6,29.125,S
1,1,male,36,0,1,120.0,C
0,3,male,30,0,0,8.05,S
1,2,female,29,0,0,12.35,S
0,3,male,18,0,0,7.775,S
0,3,male,34,0,0,0.0,S
0,3,male,19,0,0,7.775,S
1,2,female,54,1,3,27.75,S
1,1,female,19,0,2,57.9792,S
1,1,female,58,0,1,134.5,C
0,2,female,57,0,0,10.5,S
1,1,female,30,0,0,90.0,C
0,3,male,23,0,0,7.8958,S
1,2,male,0,1,2,41.5792,S
0,3,female,28,1,4,34.375,S
0,3,male,25,0,0,7.8875,S
0,3,female,3,2,2,27.9,S
1,3,female,22,0,0,0.0,S
0,2,male,21,1,0,26.0,S
0,3,male,19,0,0,8.1583,S
1,2,female,50,0,0,13.0,S
1,2,female,4,0,2,29.0,S
1,3,female,0,1,2,31.3875,S
1,1,female,35,1,0,53.1,S
1,1,female,58,0,0,59.4,C
0,3,male,16,0,0,8.6625,S
0,3,female,30,1,0,14.5,C
0,3,male,45,0,0,7.25,S
1,1,female,16,1,1,262.375,C
1,2,female,2,0,2,33.0,C
0,3,male,17,0,0,8.6625,S
0,1,male,60,1,1,52.5542,S
1,1,female,42,0,0,227.525,C
1,2,male,19,0,0,10.5,S
0,2,male,52,0,0,13.0,S
1,3,female,0,2,1,19.2583,S
1,1,female,52,1,1,164.8667,S
0,2,male,52,0,0,14.0,S
0,2,male,23,0,0,13.0,S
1,3,male,29,0,0,8.05,S
0,3,male,22,0,0,7.2292,C
0,3,male,23,0,0,7.8958,S
1,1,female,23,1,0,78.85,C
0,3,female,47,1,1,24.15,S
0,3,male,42,0,0,7.75,Q
1,1,male,36,0,0,0.0,S
1,1,female,43,1,1,93.5,C
0,1,male,40,0,0,0.0,S
1,3,female,4,2,1,21.075,S
1,2,male,31,0,0,10.5,S
0,2,male,18,0,0,10.5,S
1,1,male,4,0,2,39.4,C
0,3,male,19,0,0,8.1583,S
1,1,male,32,1,0,26.55,S
0,3,female,39,1,0,7.8542,S
1,1,male,11,0,2,57.9792,S
1,2,female,54,1,0,26.0,S
0,3,male,17,1,0,7.25,S
1,1,female,45,0,1,247.5208,C
1,1,male,48,1,0,55.9,S
0,3,female,48,1,3,27.9,S
0,3,male,36,1,1,24.15,S
0,2,male,47,0,0,13.5,S
0,3,male,26,0,0,7.8958,S
1,1,female,33,1,0,76.2917,C
0,3,female,23,0,0,8.05,S
0,3,male,21,0,0,8.4333,S
0,3,male,28,0,0,16.1,S
1,1,female,58,1,0,28.7125,S
1,2,female,29,0,1,26.0,Q
1,2,female,22,1,0,21.0,S
1,2,female,28,0,0,13.0,S
1,1,female,50,0,0,77.9583,S
1,2,female,34,0,2,14.5,S
0,3,male,40,0,0,7.55,S
1,2,female,22,0,0,10.5,S
0,3,male,19,0,0,7.65,S
1,3,female,63,0,5,29.125,S
0,1,male,58,0,2,71.0,C
0,3,male,33,0,0,7.8958,S
1,1,male,48,0,0,34.0208,S
0,3,male,55,0,0,7.75,Q
0,3,male,16,1,3,34.375,S
0,1,male,54,1,4,263.0,S
0,1,male,39,0,0,0.0,S
1,2,female,31,0,0,10.5,S
0,3,male,4,4,2,46.9,S
0,1,male,18,0,0,30.0,S
1,1,female,24,1,0,77.9583,S
1,1,male,35,0,0,26.55,S
1,3,female,18,0,0,9.8417,S
0,3,male,20,0,0,7.25,S
1,1,female,30,0,0,86.5,C
1,2,female,29,1,1,39.0,S
0,3,male,28,1,0,15.85,S
0,2,male,23,0,0,13.7917,C
0,3,male,25,0,0,7.775,S
1,2,female,6,0,2,33.0,S
1,1,female,50,0,1,93.5,S
1,2,female,54,1,0,26.0,S
0,1,male,71,0,0,30.6958,C
0,3,male,18,0,0,6.75,S
0,3,male,23,0,0,7.8542,S
0,3,male,17,1,1,15.9,S
0,3,male,21,0,0,7.925,Q
1,2,female,40,1,1,32.5,S
1,2,female,50,0,0,13.0,S
1,3,male,12,0,0,7.8792,C
0,3,male,10,5,2,31.275,S
0,1,male,36,0,0,26.55,S
1,2,female,21,1,0,11.5,S
1,2,female,34,0,0,10.5,S
0,3,male,21,0,0,7.8,S
0,1,female,38,1,0,227.525,S
0,3,male,51,0,0,7.225,C
0,3,male,23,0,0,7.2292,C
0,1,male,47,0,0,52.0,C
0,3,male,21,0,0,7.7333,Q
0,2,male,30,0,0,10.5,S
1,2,female,42,0,0,13.0,S
0,3,female,21,0,0,7.8542,S
0,3,male,20,0,0,9.5,S
0,1,male,29,0,0,26.55,S
1,2,male,1,1,1,26.0,S
0,1,male,64,0,0,51.8625,S
0,2,male,52,0,0,13.5,S
1,1,female,21,0,2,110.8833,C
0,3,male,4,3,1,19.2583,C
0,3,male,10,0,0,9.5,C
1,2,female,33,1,2,41.5792,S
1,1,male,11,0,1,49.5,S
1,3,female,24,1,0,7.8542,Q
1,3,male,26,0,0,7.925,S
1,1,male,25,0,0,52.0,C
0,3,male,45,0,0,6.975,S
0,3,female,30,1,1,14.4,C
0,3,male,26,0,0,7.8958,S
0,3,male,22,0,0,7.8542,S
0,1,male,58,0,0,34.6542,C
1,2,male,31,0,0,10.5,S
0,3,male,28,0,0,9.5,S
0,1,male,61,1,1,79.65,S
0,3,male,49,0,0,7.75,Q
0,3,male,18,0,0,6.75,S
0,1,male,71,0,0,26.55,S
1,2,female,8,0,2,37.0042,S
0,3,male,30,0,0,8.05,S
0,2,female,24,1,0,13.8583,C
0,3,female,45,1,6,34.375,S
0,3,male,40,0,1,12.475,S
1,1,female,18,0,0,69.3,S
0,2,female,57,1,0,26.0,S
0,3,male,17,0,0,8.6625,S
0,3,male,31,0,0,8.6625,S
1,1,male,80,0,0,26.55,S
0,3,male,26,0,0,7.8958,S
0,1,male,52,0,1,263.0,C
0,3,male,22,1,0,18.0,S
1,2,female,28,0,0,13.0,S
0,2,male,18,0,0,10.5,S
1,2,female,31,0,0,10.5,S
0,3,male,39,1,1,15.5,C
0,3,male,25,0,0,7.05,S
0,3,male,21,0,0,8.05,S
1,3,female,4,0,2,19.2583,S
1,3,female,63,0,0,12.475,S
0,3,female,31,1,0,14.4542,S
1,1,female,44,0,1,93.5,C
0,3,male,30,0,0,8.05,S
1,2,male,19,0,0,10.5,S
1,2,female,32,0,0,13.0,S
0,2,male,36,0,0,26.0,S
1,1,female,63,0,0,28.7125,C
1,1,female,22,1,1,151.55,S
0,3,male,34,0,0,7.05,S
1,2,female,35,0,1,19.5,S
0,3,male,42,0,0,7.55,S
1,1,male,35,1,1,263.0,C
1,3,male,19,0,0,8.05,S
0,3,male,7,3,1,21.075,S
1,3,male,27,0,0,56.4958,S
1,1,female,32,1,0,31.0,S
1,2,female,24,0,0,13.0,S
1,3,female,4,4,2,31.3875,S
1,3,female,4,0,2,15.7417,C
0,3,male,26,0,0,7.8875,S
0,1,male,61,0,0,29.7,C
1,1,female,39,0,1,134.5,C
1,1,male,23,0,1,211.3375,S
0,3,male,11,0,2,20.525,S
0,3,male,16,0,0,8.6625,S
0,2,male,37,1,0,26.0,S
0,3,male,74,0,0,7.25,S
0,3,male,20,0,0,7.25,S
0,3,female,2,2,1,19.2583,S
0,3,male,8,4,1,39.6875,S
0,3,male,36,1,0,7.925,S
1,3,female,30,0,0,9.5875,S
0,3,male,8,4,2,46.9,S
0,3,female,29,1,0,11.2417,S
0,3,female,41,0,4,14.5,S
1,1,female,24,2,2,512.3292,S
0,3,male,20,0,0,8.05,S
0,3,female,10,0,2,22.025,S
0,1,male,33,0,0,26.55,S
0,3,male,20,0,0,8.05,S
1,3,female,4,4,1,39.6875,S
0,2,male,54,0,0,13.5,S
0,3,male,21,0,0,7.775,S
1,3,male,3,4,1,39.6875,S
0,3,male,32,1,0,17.8,S
0,2,male,18,0,0,10.5,S
0,3,male,36,1,0,7.0458,S
0,3,male,21,0,0,8.4333,S
0,3,male,42,0,0,7.75,Q
1,2,male,2,1,1,26.0,S
1,1,female,35,1,0,90.0,C
0,1,female,58,0,0,27.7208,C
1,1,female,18,2,2,262.375,S
0,2,male,21,0,0,13.0,S
1,1,male,38,1,1,79.2,Q
0,2,male,59,0,0,10.5,S
1,3,female,18,4,2,31.3875,S
0,3,male,2,3,1,21.075,S
0,3,male,38,0,0,0.0,S
0,2,female,57,0,0,10.5,S
1,3,female,19,1,0,17.8,C
0,3,male,20,0,0,9.5,S
1,2,male,3,1,1,26.0,S
1,1,female,22,1,0,49.5042,S
0,1,male,71,0,0,51.8625,C
0,2,male,23,0,0,13.0,S
0,3,male,35,0,0,6.4958,S
0,3,male,30,0,0,8.05,S
1,2,female,27,0,0,13.0,S
0,3,male,25,0,0,7.8875,S
1,3,female,5,0,1,13.4167,C
1,2,female,34,0,0,13.0,S
1,2,male,19,0,0,13.0,S
1,1,female,52,1,0,78.2667,S
0,3,male,33,1,1,20.525,S
0,1,male,38,0,0,27.7208,C
0,3,male,18,1,0,6.4958,S
1,2,male,0,2,1,73.5,S
0,2,male,30,1,0,27.7208,C
0,3,male,22,0,0,7.925,Q
0,3,male,23,0,0,7.8958,S
1,1,male,36,0,0,40.125,S
0,3,male,11,3,1,21.075,S
0,1,male,40,0,0,26.2875,S
1,1,male,27,0,0,47.1,S
1,1,male,48,0,0,38.5,S
0,3,male,30,0,0,8.05,S
0,3,male,17,0,0,8.6625,S
1,1,female,52,1,1,134.5,S
0,3,male,28,0,0,7.8958,S
0,3,male,27,0,0,7.8958,S
1,3,male,32,0,0,9.5875,S
1,1,female,15,0,0,77.9583,S
0,2,male,23,0,0,13.7917,C
0,2,male,34,0,0,13.0,S
1,3,female,5,4,1,39.6875,S
0,3,female,43,0,5,20.525,S
0,3,male,21,0,0,7.8542,S
1,2,female,45,1,0,26.0,S
1,3,male,19,1,1,15.7417,S
1,1,female,38,1,1,57.9792,S
1,2,female,4,1,1,23.0,S
1,2,female,8,1,2,27.75,S
1,2,female,25,1,0,21.0,S
1,1,female,16,1,1,151.55,S
0,3,female,18,0,0,7.775,S
1,2,male,19,1,1,26.25,S
1,2,female,21,0,0,26.0,S
1,3,female,35,1,1,15.5,C
1,1,female,32,0,0,86.5,C
0,3,male,22,0,0,8.05,S
0,3,male,18,1,1,15.9,S
1,2,female,32,0,0,13.0,S
1,1,male,0,1,2,151.55,C
1,1,female,35,1,0,135.6333,S
0,3,male,40,0,0,8.05,S
0,3,male,30,0,0,7.8542,S
1,3,male,27,0,0,8.6625,S
0,1,female,52,1,0,26.55,S
1,3,male,20,1,1,14.4,C
1,3,male,16,1,1,11.1333,S
1,1,female,42,0,0,52.0,C
0,3,male,39,0,0,8.05,S
1,3,female,24,0,0,7.75,Q
0,3,male,20,0,0,7.25,S
0,1,male,54,1,4,153.4625,S
0,1,male,33,0,0,30.5,C
0,3,male,17,0,0,8.6625,S
1,1,male,49,2,0,52.5542,S
0,2,female,44,1,0,30.0708,S
1,2,female,34,1,2,41.5792,S
1,1,female,21,1,0,151.55,C
0,3,female,21,1,0,9.825,S
0,2,female,24,0,0,10.5,S
0,3,male,40,0,2,19.2583,S
1,3,female,19,1,0,14.4542,C
0,3,female,30,1,0,18.0,S
0,1,male,47,0,0,38.5,C
0,3,male,51,0,0,8.05,S
1,1,female,23,1,0,151.55,S
1,1,female,22,0,2,26.2833,S
1,3,male,39,0,0,12.475,S
1,1,female,44,1,0,78.2667,S
0,3,male,25,0,0,7.8958,S
0,3,male,26,1,2,27.9,S
0,3,male,33,0,0,7.75,Q
0,3,male,36,1,0,15.85,S
0,3,male,40,0,0,8.6625,S
