dataset,size_rcds,size_atts,model,avg_cio_value,avg_cio_error,corr_mat_diff_value,corr_mat_diff_error,mutual_inf_diff_value,mutual_inf_diff_error,ks_tvd_stat_value,ks_tvd_stat_error,frac_ks_sigs_value,frac_ks_sigs_error,avg_h_dist_value,avg_h_dist_error,avg_pMSE_value,avg_pMSE_error,nnaa_value,nnaa_error,priv_loss_nnaa_value,priv_loss_nnaa_error,cls_F1_diff_value,cls_F1_diff_error,cls_F1_diff_hout_value,cls_F1_diff_hout_error,hit_rate_value,hit_rate_error,eps_identif_risk_value,eps_identif_risk_error,mia_cls_risk_value,mia_cls_risk_error,rank_,u_rank_,p_rank_,time
cervical_cancer,small,some_atts,datasynthesizer,0.3630707352563704,0.14249829966537306,1.4596508984101244,,3.977275051919362,,0.09795061948878224,0.04274217979478089,0.14705882352941177,,0.024829809071121686,0.009145668241645174,0.023590983841432833,0.0038110806399494876,0.7495256166982922,0.0,0.02967060079579753,0.0042774530107228806,0.1639577717879605,0.036172781233601785,0.18262411347517732,0.16846459938141164,0.017077798861480076,,0.07590132827324478,,0.0676056338028169,0.011267605633802816,11.702813193999013,7.893068555732354,3.809744638266661,95.789280779
cervical_cancer,small,some_atts,synthpop,0.4497810059598297,0.1243603028347889,1.0635581301962689,,2.6601099024434487,,0.012059593704654537,0.002335159840406658,0.0,,0.04587615904891115,0.029337062665659996,0.004664865728460835,0.00047906268360195536,0.4971537001897533,0.0,0.20674700903010507,0.004363817477145877,0.006172506738544498,0.006841552462482664,0.010638297872340441,0.003546099290780147,0.14990512333965844,,0.4459203036053131,,0.9943661971830986,0.0056338028169014,11.055645097908226,8.8525837310664,2.203061366841825,0.0172169699999997
derm,small,some_atts,ctgan,0.0,,1.6110440681642804,,2.5815721801040104,,0.07282063492063491,0.006145827156659937,0.2857142857142857,,0.07868657043076246,0.005832976250598165,0.03648879935576298,0.003935418453249254,0.625,0.0,-0.014761904761904643,0.006923421929193198,0.09112220205686625,0.013902735604368728,0.06428571428571431,0.023690177073967148,0.0,,0.3819444444444444,,0.9885714285714287,0.006998542122237654,10.244091203528269,7.629368981306048,2.6147222222222224,204.144778989
derm,small,some_atts,datasynthesizer,0.5129846419573284,,0.8763334002852714,,0.9796422223166039,,0.031940317460317454,0.0028101338737438744,0.0,,0.03821353957371439,0.004671844966309285,0.015841820392866645,0.002226461881651392,0.44270833333333337,0.0,0.14324404761904763,0.006438901874245086,0.08065638233514816,0.01998771448186106,0.04999999999999999,0.031676511180119195,0.0,,0.5625,,1.0,0.0,11.097235453303625,8.802979500922675,2.2942559523809525,85.56661725166667
derm,small,some_atts,synthpop,0.8928395272052327,,0.8692241548380464,,1.146761393764995,,0.03203698412698412,0.00268906488824172,0.0,,0.03419054412031638,0.0025860780105332517,0.01319148087579906,0.0009252100085013331,0.484375,0.0,0.09586309523809533,0.007148465231404197,0.020039322444041052,0.017233692871712437,0.03928571428571431,0.012198750911856649,0.0,,0.4895833333333333,,1.0,0.0,11.641311399147494,9.226757827718924,2.4145535714285717,0.014186914333333
spect,small,some_atts,ctgan,0.17831831075106272,0.04451579347062332,7.466686495623452,,3.300955941361551,,0.19948176531671855,0.01523015621358311,0.7111111111111111,,0.000789926903719468,0.0007899269037194678,0.19621435207429908,0.004128474213682559,0.927570093457944,0.0,-0.010903426791277426,0.003996949661386531,0.01638981173864898,0.016698414958819154,0.07547169811320759,0.03357571777368339,0.0,,0.0514018691588785,,0.962962962962963,0.01656346649999844,9.426501830397392,6.451770089310512,2.974731741086881,169.67100353700002
spect,small,some_atts,datasynthesizer,0.22732277408651605,0.05177336805915547,8.127784453713891,,2.617803235192741,,0.09231518172377984,0.005414426018144171,0.17777777777777778,,0.0020922015133021605,0.0020922015133021596,0.0665487306024389,0.0021886326764795115,0.6238317757009346,0.0,0.20792923058837354,0.00505882002896594,0.03862126245847178,0.020398009008533412,0.1745283018867925,0.04645687642356655,0.0,,0.205607476635514,,1.0,0.0,10.427570514413121,7.841107221637008,2.5864632927761124,149.04557262
spect,small,some_atts,synthpop,0.39153274531811866,0.04288888922798533,5.33899173306657,,1.1625386434341511,,0.057735410176531665,0.002665850138183494,0.0,,0.0005600378186166549,0.0005600378186166547,0.026605522069692772,0.004497280068351955,0.6612149532710281,0.0,0.19570328572268259,0.004956679904094822,0.018798449612403095,0.018271229700141122,0.037735849056603765,0.013341637380878252,0.0,,0.1588785046728972,,1.0,0.0,11.147916964308079,8.502498754703659,2.6454182096044203,0.015559551333333
diabetic_mellitus,small,many_atts,ctgan,0.32173210969455346,0.157667619025532,4.319780999256068,,4.954405526367936,,0.05088592019767548,0.004929113238061653,0.19387755102040816,,0.04687685128013801,0.007068630596283594,0.0868706182549627,0.0063699287427851905,0.7713004484304933,0.0,-0.0007647341447789557,0.005964939543132472,0.22325757575757574,0.01403951835735687,0.21874999999999994,0.060281634227765175,0.0,,0.13004484304932734,,0.9785714285714286,0.008748177652797059,10.357969056256195,7.467350062021732,2.8906189942344653,124.30782315166664
diabetic_mellitus,small,many_atts,datasynthesizer,0.4155686305281752,0.12545595934777684,3.4365228805971406,,4.4019099783398365,,0.028464715841493547,0.0027639323429109347,0.02040816326530612,,0.021906246850123746,0.0016344306181851325,0.04570192298699752,0.004937645650175954,0.5291479820627802,0.0,0.0756139226991247,0.007536531044176894,0.019090909090909186,0.011924661153173208,0.04464285714285712,0.03380302586785876,0.0,,0.31390134529147984,,1.0,0.0,11.17793564151622,8.567450909506825,2.6104847320093953,508.7636833256667
diabetic_mellitus,small,many_atts,synthpop,0.7442245297968866,0.09444743184754772,3.3281563691835623,,3.596406611823944,,0.022565722522192737,0.0018231979051165081,0.0,,0.030007854147875542,0.009789114407373891,0.050635489869495995,0.0025789412655501678,0.6704035874439462,0.0,-0.016534539824898498,0.008264323985796778,0.00896464646464648,0.013163398059180707,0.03125,0.015248438639820821,0.0,,0.16591928251121077,,0.9928571428571429,0.007142857142857139,11.601722911950521,8.777033877143774,2.824689034806748,0.0234147979999998
mice_protein,small,many_atts,ctgan,0.06587435237820928,0.02258149391186388,9.89093982630931,,3.0067146321179656,,0.2438490789073936,0.015553365320417909,0.8271604938271605,,0.0013595399957112458,0.0008754454336920917,0.24204668624481024,0.0006134599447531489,0.8434004474272931,0.0,0.07739320336635747,0.0036134786563305926,0.3599500624219725,0.017165319471780256,0.42619047619047623,0.06405012681701645,0.0,,0.0022371364653243847,,1.0,0.0,8.312166411248382,5.391796751080064,2.9203696601683182,381.32321511366666
mice_protein,small,many_atts,datasynthesizer,0.49261908204021915,0.039817075735846016,14.599421476782753,,0.6631051655193106,,0.05109513077581682,0.0024312147890165722,0.07407407407407407,,0.0009313484515648234,0.0004911549368835256,0.053911874008851224,0.0012884151357160523,0.6823266219239373,0.0,0.10592734633003109,0.004232986677330633,0.21598626716604247,0.00799445272027062,0.21190476190476193,0.16488274309955317,0.0,,0.020134228187919462,,1.0,0.0,10.909881150819587,8.035942725337536,2.8739384254820495,480.5386715106667
mice_protein,small,many_atts,synthpop,0.3584981432668793,0.036739892456751855,7.32977383546478,,8.959214603452379,,0.06200445493965255,0.0023051219248288626,0.06172839506172839,,0.0028417987855168646,0.001684883002672588,0.0443175738991538,0.0041467128646031515,0.825503355704698,0.0,0.05687759667625436,0.0034486277090023873,0.2225967540574283,0.010247401934188027,0.2285714285714286,0.1753950297976034,0.0,,0.0022371364653243847,,0.9962264150943396,0.0037735849056603757,10.717613046746328,7.772954194982245,2.944658851764082,0.0447365100000004
spectrometer,small,many_atts,ctgan,0.057400582418922784,0.01818327289980777,24.54697436828999,,8.000568606983874,,0.2677174705882353,0.01657615809210654,0.84,,0.0004931168632845971,0.0004931168632845973,0.24353680932368627,0.0007708486054110867,0.8788235294117648,0.0,0.074163891971883,0.002727885467436709,0.1247058823529412,0.017817801448071716,0.06839622641509432,0.009724305720796368,0.0,,0.0,,0.9622641509433963,0.015786038236491984,8.860113815370452,5.896541858285731,2.9635719570847208,445.4997968393333
spectrometer,small,many_atts,datasynthesizer,0.18209884925357536,0.029872037606701384,40.872335503598094,,0.12901468335001878,,0.07741158823529411,0.0025730824797623553,0.27,,0.0004050441405552535,0.00040504414055525355,0.07587803751981467,0.002982555667256859,0.6141176470588235,0.0,0.2850961894191639,0.003096712190768184,0.05529411764705888,0.01891979063067693,0.04952830188679244,0.01821797205386237,0.0,,0.007058823529411765,,0.9849056603773585,0.007059730918441397,10.526486225831988,7.803546899157923,2.722939326674066,657.174779974
spectrometer,small,many_atts,synthpop,0.7258702191437691,0.0224236510057001,10.785203427606676,,10.736005594540055,,0.044752529411764705,0.0012822632125443088,0.0,,0.0003005952517815631,0.000300595251781563,0.025153500562778115,0.0021239591764093766,0.9223529411764706,0.0,0.05704957454679993,0.0015419423708736685,0.040000000000000036,0.02102066868847722,0.05896226415094338,0.017384704707150925,0.0,,0.011764705882352941,,0.9584905660377359,0.007059730918441397,11.527235321440434,8.554540167907323,2.9726951535331114,0.0470575176666668
space_titanic,large,few_atts,ctgan,0.05366216012482223,0.03786371241107169,0.22371916921390597,,2.181244421478806,,0.17119813084112148,0.04242063798938075,0.9090909090909091,,0.014141984482061032,0.007667915582661827,0.010141569922948552,0.00027074576814299905,0.7620416966211359,0.0,-0.07982437996673297,0.0012019935660788261,0.02650995106879453,0.003083155983447636,0.02777777777777779,0.00512779980307814,0.7898993529834651,,0.1960819554277498,,0.6311764705882352,0.009340261475412009,9.361626660845177,7.0586088198113615,2.303017841033817,1001.9327669346668
space_titanic,large,few_atts,datasynthesizer,0.02212362346950923,0.022123623469509225,0.27453847275381704,,1.5635822819083758,,0.3283879942487419,0.10960020047606941,0.5454545454545454,,0.0035864993042992468,0.0018742420774666814,0.08537895388010619,0.0012120992874777362,0.9237958303378864,0.0,-0.04501241115711618,0.0009332256764081921,0.09939066267201871,0.006412159874304765,0.08462104488594555,0.03606718449787336,0.7237598849748382,,0.03199137311286844,,0.02617647058823529,0.0027275348516163827,9.835010713855095,6.661950853688152,3.1730598601669415,18.41215165733333
space_titanic,large,few_atts,synthpop,0.22674517702672972,0.07781342573848488,0.22635363781936005,,0.20785961135154213,,0.009939454937585778,0.0015460851757414674,0.09090909090909091,,0.004542686360217419,0.0028228420419572037,0.0007791152219309657,5.586214558057002e-05,0.27929547088425594,0.0,0.24082962109514078,0.0019434093094325582,0.01248884989043808,0.0026071841430434554,0.011589403973509937,0.004418841850428379,0.8691588785046729,,0.3860531991373113,,0.9752941176470588,0.0011764705882352901,10.335633156451163,8.806968972835346,1.5286641836158164,0.0364519246666663
stroke,large,few_atts,ctgan,0.20118565655317378,0.2011856565531738,0.14000015372214275,,0.7018074186446069,,0.0567802891298304,0.020192888901338777,0.5454545454545454,,0.014036438128183741,0.004564757045208518,0.019310847943078628,0.000323862484691296,0.711901121304791,0.0,0.01583153520959124,0.0017928682737560848,0.0012738853503184433,0.0027321113469429706,0.0005076142131979489,0.0005076142131979489,0.11722731906218145,,0.2640163098878695,,0.6409736308316429,0.011311840562757558,10.740633983983857,7.778682778975142,2.961951205008715,735.7256383170001
stroke,large,few_atts,datasynthesizer,0.3040794904498309,0.2071754549971331,0.10876062417112897,,0.7251641383833946,,0.010893327773144286,0.002510319709526418,0.0,,0.005117709731351545,0.0015856627561351404,0.0003492520324222564,5.342235516248915e-05,0.48980632008154945,0.0,0.04083665792183455,0.0021401718216084126,0.0010834524892758546,0.003024494172466359,0.000761421319796951,0.0004860036079981455,0.28312945973496434,,0.5007645259938838,,0.9947261663286003,0.0017683160014363738,10.96040117253566,8.779857982514942,2.180543190020717,27.24224937
stroke,large,few_atts,synthpop,0.26059200400405336,0.26059200400405336,0.26166585325695885,,0.17495681535912413,,0.007962820869242887,0.002396240388672925,0.0,,0.06043662462712347,0.0569416131711433,0.00045198435334082264,0.0001224951381424556,0.47974006116207946,0.0,0.06638515034384274,0.0018798407670513862,0.0002552645261925668,0.002868667361366814,0.0005076142131980044,0.0002930712026343479,0.3236493374108053,,0.5002548419979612,,0.9963488843813387,0.0011827488630517856,10.815304873084068,8.701943087218016,2.113361785866052,0.0397894220000001
winequality,large,few_atts,ctgan,0.17228840274178012,0.09364883901479927,0.6005299008867147,,7.95093462687671,,0.09716093670239917,0.013511444244174203,1.0,,0.0028140090430940757,0.002814009043094076,0.025899182645781522,0.00044224103761443913,0.9494640122511485,0.0,-0.08300142721713488,0.0012881576421947055,0.13476017801756723,0.00987293321675532,0.03520408163265305,0.008593064691605298,0.0,,0.0257784583971414,,0.7224489795918367,0.010285390341513587,9.888491944945628,6.719720810151741,3.1687711347938867,957.228212112
winequality,large,few_atts,datasynthesizer,0.5609872527030622,0.09547251782608246,0.7036641204734635,,7.957379048002833,,0.04938666836821507,0.00897122711850833,0.75,,0.0008051971560084767,0.0008051971560084767,0.0006929804242683412,6.001940430141165e-05,0.7187340479836651,0.0,0.15313670031565452,0.00111853253715684,0.10886658782286862,0.011372945061964011,0.02831632653061225,0.012733825792408112,0.0010209290454313426,,0.19295558958652373,,0.9983673469387755,0.00040816326530612734,10.425398010463141,7.770878576349523,2.654519434113615,32.81218234433333
winequality,large,few_atts,synthpop,0.6746058597712554,0.08853134937692995,0.40481159747973816,,0.35337296812090124,,0.012615054449549091,0.0011850245664151474,0.0,,0.0011425160543514785,0.0011425160543514785,0.0006865689685541948,8.497291928341583e-05,0.8871873404798367,0.0,0.00043170713921081294,0.0008638153507033817,0.08064800153777989,0.010296980401921141,0.03367346938775512,0.014145325736005639,0.0,,0.05793772332822869,,0.9657142857142856,0.0064342378654834494,11.621021840872697,8.645105557054423,2.975916283818275,0.028814605333333
cardiotocography,large,some_atts,ctgan,0.17139304319872278,0.06491606189678942,2.092140989562764,,3.5994995411172352,,0.07719553530602914,0.011190512533342334,0.7222222222222222,,0.012935488512569204,0.003608914603716942,0.13168295543222175,0.001709155774669122,0.807172251616696,0.0,-0.0464663692637548,0.002177795039516051,,,,,0.0,,0.029394473838918283,,0.7849765258215962,0.024322692670401158,8.155264004839351,5.016101373763621,3.139162631075731,808.7758962489999
cardiotocography,large,some_atts,datasynthesizer,0.36039583350596005,0.06932407196183975,2.883615988442957,,3.761858353592944,,0.07879264321640866,0.023487149031083076,0.3888888888888889,,0.01103902958965905,0.0033385090994623896,0.024018349801620244,0.0008591662892174333,0.7457378012933569,0.0,-0.020012311097278412,0.0018680434238559748,,,,,0.0,,0.06172839506172839,,0.39061032863849765,0.021069301100767025,9.556964664542175,6.02931569933968,3.527648965202496,181.589280952
cardiotocography,large,some_atts,synthpop,0.4811309591760502,0.06704885771883765,0.952213806425828,,0.9154455930287191,,0.017556742765693387,0.0024047206045208526,0.027777777777777776,,0.005966920733665137,0.0024376373591884644,0.005502973360688798,0.0003811863035612575,0.6707818930041152,0.0,0.030669087388041527,0.0022841069588697463,,,,,0.0005878894767783657,,0.21222810111699,,0.9990610328638498,0.000938967136150226,9.491525081877091,6.734071192722751,2.7574538891543403,0.0275266023333333
one_hundred_plants,large,some_atts,ctgan,0.0792384169767073,0.026956283457273234,5.07082265495484,,45.082416159537296,,0.2088701923076923,0.015276839919428731,0.9384615384615385,,0.0,0.0,0.19342014487327605,0.0016511775966061416,0.775,0.0,0.04453125000000002,0.002688383224955873,,,,,0.0,,0.00546875,,0.18375,0.008523863560616159,8.125363972668941,4.3591139726689425,3.7662500000000003,689.3320224266666
one_hundred_plants,large,some_atts,datasynthesizer,0.4095135504738138,0.03875417634741207,10.278149341518601,,53.43751157644416,,0.2378245192307692,0.02725957646649856,0.9384615384615385,,0.0,0.0,0.05549469181957466,0.004540269073289844,0.81328125,0.0,0.06916666666666671,0.0018021705347316009,,,,,0.0,,0.003125,,0.005,0.0030618621784789728,9.090043279549057,5.167334946215725,3.9227083333333335,510.0172016713333
one_hundred_plants,large,some_atts,synthpop,0.49792116391731156,0.03834390749941789,3.419095828543935,,1.116554870043787,,0.02490384615384615,0.0012412492880775458,0.0,,0.0,0.0,0.011273618178093307,0.000704847427407175,0.676171875,0.0,0.1448697916666667,0.002056763035894933,,,,,0.0,,0.10546875,,1.0,0.0,9.499231827087028,6.7495703687536945,2.749661458333333,0.0504921769999994
steel_faults,large,some_atts,ctgan,0.21642972190166007,0.07081049927042683,2.181370574168768,,4.515975120301113,,0.12164414984280898,0.015835521575607824,0.7647058823529411,,0.005729572292503517,0.0024001858949639974,0.1180906695763688,0.0027203161775507883,0.8783000643915003,0.0,0.02539409368410117,0.0020547459083868494,0.22452027797946267,0.015559886313494045,0.2802835051546392,0.07612460738164639,0.0,,0.019317450096587252,,0.9670103092783504,0.00418764866218347,9.445223510903915,6.456945363962953,2.988278146940961,747.9715472583333
steel_faults,large,some_atts,datasynthesizer,0.3158903585655979,0.06978854948499026,3.504029551514971,,5.104239586724589,,0.1058283000643915,0.023586320740691825,0.5882352941176471,,0.0050925014250340255,0.0021060002116612617,0.022335988869162965,0.0010870610209379806,0.7768834513844173,0.0,0.10159593005888168,0.0013706999438519954,0.2784586661134736,0.010021442915344472,0.2603092783505154,0.03210461673720755,0.0,,0.0437862202189311,,0.9216494845360824,0.023132789352903985,10.129362768551763,7.19639440336566,2.932968365186105,169.19096299333333
steel_faults,large,some_atts,synthpop,0.6926413910782553,0.04767474272266747,0.8756625022919152,,1.45341683863189,,0.02021010757168289,0.0016393712532446275,0.058823529411764705,,0.005564134254633495,0.0018602091134905128,0.007667593900264118,0.0003915422519514542,0.7453316162266581,0.0,0.06854295422007739,0.0021542885917727635,0.00016180894098119514,0.0012566396743837512,0.00644329896907217,0.00644329896907217,0.0,,0.2112041210560206,,0.9979381443298969,0.0020618556701030855,11.543599643917224,8.82128486352322,2.722314780394005,0.0334820666666667
bankruptcy,large,many_atts,ctgan,0.13959379220324097,0.029823950551255786,10.50850878707446,,29.584570640184,,0.360768032959059,0.028733247141674124,0.96875,,0.0002904583730965786,0.00021100807501445837,0.2037747929150393,0.0008615829606387839,1.0,0.0,0.0,0.0,0.18762603116406967,0.06561170040946974,0.23002199413489735,0.17061341648704273,0.0,,0.0,,1.0,0.0,8.5682457619323,5.5682457619323,3.0,3046.497816458333
bankruptcy,large,many_atts,datasynthesizer,0.1062064701645968,0.025362225917725627,11.93329885564899,,12.454197085998567,,0.4691032768102657,0.03568151043589324,0.9375,,0.00025994846240231677,0.00019530563045983012,0.24628404576844173,0.0005809100434370782,0.998166819431714,0.0,0.0018331805682859637,0.0,0.11507791017415214,0.018952845330671358,0.1508431085043988,0.12251388125518023,0.0,,0.0005499541704857929,,0.8079178885630498,0.19134925450255222,8.63447006533115,5.444771088632974,3.1896989766981783,4275.090694554
bankruptcy,large,many_atts,synthpop,0.4390571117816841,0.03802453653525633,8.800413429784422,,7.148593161220484,,0.031140982088298196,0.003104650999051763,0.3958333333333333,,4.69285861856284e-05,3.708470379212721e-05,0.027002261620659506,0.0008694675850224757,1.0,0.0,0.0,0.0,0.09743354720439965,0.031965240191309946,0.12133431085043989,0.06712749988183737,0.0,,0.0,,1.0,0.0,10.681761374071694,7.681761374071695,3.0,0.4285262843333335
speed_dating,large,many_atts,ctgan,0.051467653134345016,0.02249457102869775,8.68489342736605,,8.75510080295048,,0.07207163632686084,0.006142239677943308,0.85,,0.01551307223764398,0.0016709923351734225,0.15142353676869516,0.00035865123818183903,0.7693416262135923,0.0,-0.01294768681965286,0.001142492470478889,0.1448354043448099,0.003689297817757834,0.12636363636363637,0.028386354538174532,0.0,,0.0,,0.5379393939393939,0.0151994393594349,9.91431847359124,6.465205554350288,3.449112919240953,4994.682451828
speed_dating,large,many_atts,datasynthesizer,0.3506803027765815,0.04839808613515724,4.711704928583181,,6.809819871362298,,0.03248281148867314,0.005794073668028378,0.24166666666666667,,0.006283009043281229,0.001078765765170189,0.046987480625963016,0.0007321634321077648,0.7661559466019418,0.0,-0.021923623369618728,0.0013342737044648443,0.001175276483195875,0.0011292041697843957,0.0001515151515151525,0.0001515151515151525,0.0,,0.0,,0.8724848484848484,0.008794354980468868,11.218793024047422,8.113201495901889,3.105591528145533,9393.625217184332
speed_dating,large,many_atts,synthpop,0.4678598054176612,0.04581124146828649,1.7401082301045492,,1.2981473125615395,,0.010951019417475727,0.0005095526758502684,0.058333333333333334,,0.004700704513247048,0.0005518830203843037,0.004659001394256248,0.00015978269602027838,0.6530643203883495,0.0,-0.003912805236834238,0.0012286748444068653,0.0019718230461528152,0.0012366103862190751,0.000303030303030305,0.000303030303030305,0.00015169902912621358,,0.30976941747572817,,0.9997575757575758,0.00024242424242424396,11.405882545353414,8.719474042852678,2.6864085025007354,0.4593102650000003
yeast_ml8,large,many_atts,ctgan,0.05470547573403344,0.016861080544028968,6.847103520535178,,1.448041527694422,,0.11244181670334721,0.006548395176527351,0.8717948717948718,,0.0020479028329893965,0.0007066760928339643,0.20609598245526323,0.000699281973674248,0.8195449844881075,0.0,0.15595536057745507,0.0009551567457549483,0.13210895556358862,0.008446505321402904,0.13146997929606624,0.02301615755093484,0.0,,0.0,,1.0,0.0,9.003735283697488,6.159690644274942,2.844044639422545,1497.8226172333334
yeast_ml8,large,many_atts,datasynthesizer,0.5813887823860064,0.030180151160138842,11.322924204566917,,0.41026721807145755,,0.02836726592952032,0.0012415163317090827,0.15384615384615385,,0.001364523300775141,0.0004690444977060862,0.008114168204753535,0.0002656870066001449,0.733453981385729,0.0,0.2555729337281427,0.0005359540046484119,0.04459975097401292,0.007702581517971351,0.08074534161490685,0.03384106368514968,0.0,,0.06204756980351603,,1.0,0.0,11.187205559891597,8.504826063423257,2.682379496468341,2579.2288282486666
yeast_ml8,large,many_atts,synthpop,0.397877408617563,0.0342844727179351,5.868491860049508,,9.622869050255542,,0.02977158009174555,0.0015367556608516981,0.17094017094017094,,0.0022306233424930644,0.0007045182055995584,0.012678739829250624,0.0008025113588123089,0.8027404343329887,0.0,0.17231132550137962,0.0006534918386258188,0.021465102890575877,0.006711440929854601,0.026397515527950333,0.004734445387857915,0.0,,0.06101344364012409,,1.0,0.0,11.058009411755457,8.29133418089696,2.766675230858496,0.1228540660000003
